Munic�pio de resid�ncia,Em branco/IGN,<1 Ano,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,80 e +,Total
350510 BARBOSA,-,4,2,10,16,14,62,35,7,8,5,2,165
350520 BARIRI,-,-,6,13,16,22,84,87,18,20,14,5,285
350530 BARRA BONITA,-,1,7,10,16,9,43,62,5,8,13,5,179
350535 BARRA DO CHAPEU,-,-,-,2,-,-,-,-,-,-,-,-,2
350550 BARRETOS,-,16,13,69,74,60,281,195,46,40,46,12,852
350560 BARRINHA,-,6,17,26,29,22,103,97,13,4,4,2,323
350570 BARUERI,-,4,7,12,21,4,51,57,4,5,5,-,170
350580 BASTOS,-,6,45,89,101,133,498,518,109,76,88,28,1691
350590 BATATAIS,-,2,5,25,42,51,254,242,62,42,52,9,786
350600 BAURU,-,57,450,1207,1314,1238,4951,3532,566,434,446,172,14367
350610 BEBEDOURO,-,1,7,25,38,25,98,98,18,13,12,7,342
350620 BENTO DE ABREU,-,-,-,5,2,5,10,15,-,1,3,1,42
350630 BERNARDINO DE CAMPOS,-,1,-,1,3,2,14,15,2,1,1,-,40
350635 BERTIOGA,-,21,28,65,102,118,529,395,64,43,46,13,1424
350640 BILAC,-,-,1,1,1,-,2,1,1,2,1,-,10
350650 BIRIGUI,-,8,44,116,163,190,750,401,35,32,24,13,1776
350660 BIRITIBA-MIRIM,-,-,2,1,1,1,4,2,1,-,-,1,13
350670 BOA ESPERANCA DO SUL,1,9,38,105,145,124,497,509,108,79,106,20,1741
350680 BOCAINA,-,-,-,-,2,-,3,6,1,1,1,-,14
350690 BOFETE,-,-,-,-,-,1,1,4,-,1,1,-,8
350700 BOITUVA,-,-,4,6,7,10,53,54,6,4,4,1,149
350710 BOM JESUS DOS PERDOES,-,1,7,11,3,1,9,5,-,1,1,1,40
350720 BORA,-,-,-,4,3,-,7,5,3,1,1,2,26
350730 BORACEIA,-,4,6,9,11,9,54,45,6,3,8,5,160
350740 BORBOREMA,-,3,8,50,52,53,192,218,63,44,49,15,747
350745 BOREBI,-,3,2,3,2,8,19,19,8,1,3,-,68
350750 BOTUCATU,-,5,15,24,27,35,145,108,12,19,28,8,426
350760 BRAGANCA PAULISTA,-,1,4,9,20,9,65,58,9,4,4,-,183
350770 BRAUNA,-,1,4,5,6,12,46,51,17,12,15,9,178
350775 BREJO ALEGRE,-,-,-,3,5,5,15,12,1,1,4,-,46
350780 BRODOWSKI,-,8,22,44,33,48,195,246,64,44,65,34,803
350790 BROTAS,-,1,4,4,2,5,31,21,2,3,1,-,74
350800 BURI,-,-,5,6,1,3,7,3,-,2,1,-,28
350810 BURITAMA,-,1,1,-,2,-,4,2,-,-,1,1,12
350820 BURITIZAL,-,1,1,5,6,6,33,36,7,8,14,3,120
350830 CABRALIA PAULISTA,-,-,-,-,1,-,3,4,-,-,-,-,8
350840 CABREUVA,-,-,8,4,10,10,61,49,4,2,3,-,151
350850 CACAPAVA,-,1,11,27,23,24,111,117,17,10,16,5,362
350860 CACHOEIRA PAULISTA,-,-,-,1,-,2,11,10,-,1,-,-,25
350870 CACONDE,-,-,-,3,2,-,5,3,2,-,-,1,16
350880 CAFELANDIA,-,1,2,7,11,9,47,58,14,7,12,3,171
350890 CAIABU,-,-,2,2,5,4,24,34,6,4,3,5,89
350900 CAIEIRAS,-,-,4,2,3,2,7,18,2,1,2,-,41
350910 CAIUA,-,-,2,7,11,7,28,42,7,6,9,4,123
350920 CAJAMAR,-,-,5,2,5,3,28,18,1,1,1,-,64
350925 CAJATI,-,-,-,3,-,-,3,2,-,-,1,-,9
350930 CAJOBI,-,3,10,18,36,42,158,182,36,23,32,7,547
350940 CAJURU,-,1,2,1,3,5,11,8,-,-,-,1,32
350945 CAMPINA DO MONTE ALEGRE,-,-,-,-,1,1,1,1,-,1,-,-,5
350950 CAMPINAS,-,71,262,684,821,895,4653,2861,382,273,290,104,11296
350960 CAMPO LIMPO PAULISTA,-,2,4,12,6,13,41,43,5,2,1,1,130
350970 CAMPOS DO JORDAO,-,-,-,1,-,-,1,2,-,-,-,-,4
350980 CAMPOS NOVOS PAULISTA,-,1,10,30,24,27,108,77,8,10,12,3,310
350990 CANANEIA,-,-,1,-,1,1,5,3,-,-,1,-,12
350995 CANAS,-,-,-,-,1,-,-,1,-,1,1,-,4
351000 CANDIDO MOTA,-,5,21,55,83,113,430,303,50,28,47,21,1156
351010 CANDIDO RODRIGUES,-,-,1,15,10,7,69,48,16,12,17,12,207
351015 CANITAR,-,6,7,15,30,42,111,105,21,15,10,5,367
351020 CAPAO BONITO,-,1,13,31,43,55,221,141,22,16,11,3,557
351030 CAPELA DO ALTO,-,2,1,6,11,13,66,38,9,11,8,3,168
351040 CAPIVARI,-,-,1,3,7,5,33,31,4,3,-,1,88
351050 CARAGUATATUBA,-,20,44,61,95,97,392,293,43,31,27,8,1111
351060 CARAPICUIBA,-,3,1,1,7,9,31,34,4,3,2,1,96
351070 CARDOSO,-,-,2,8,3,1,10,14,1,2,3,-,44
351080 CASA BRANCA,-,-,1,7,7,13,31,39,3,5,-,2,108
351090 CASSIA DOS COQUEIROS,-,-,-,-,1,-,8,7,1,-,-,2,19
351100 CASTILHO,-,1,6,29,43,29,111,105,26,13,15,6,384
351110 CATANDUVA,-,8,20,52,79,85,467,342,63,51,54,27,1248
351120 CATIGUA,-,2,4,4,2,5,28,15,1,1,2,1,65
351130 CEDRAL,-,2,1,5,11,14,52,22,1,2,-,1,111
351140 CERQUEIRA CESAR,-,3,4,15,21,24,120,82,23,17,20,2,331
351150 CERQUILHO,-,-,2,1,4,5,33,27,4,4,-,-,80
351160 CESARIO LANGE,-,-,1,2,5,2,8,12,1,1,2,-,34
351170 CHARQUEADA,-,-,2,9,11,5,54,52,10,5,3,-,151
351190 CLEMENTINA,-,-,1,-,1,3,2,-,1,-,-,-,8
351200 COLINA,-,2,2,1,12,12,50,55,12,7,8,2,163
351210 COLOMBIA,-,2,10,26,30,33,113,102,10,6,13,-,345
351220 CONCHAL,-,2,1,2,6,4,25,17,2,2,2,-,63
351230 CONCHAS,-,3,19,42,53,61,206,189,38,17,37,13,678
351240 CORDEIROPOLIS,-,-,-,2,5,-,17,9,2,-,2,1,38
351250 COROADOS,-,1,5,3,4,9,34,32,2,2,3,2,97
351260 CORONEL MACEDO,-,-,-,2,2,-,14,6,2,-,-,-,26
351270 CORUMBATAI,-,-,2,-,-,-,7,9,1,-,3,-,22
351280 COSMOPOLIS,1,4,15,16,33,14,97,85,27,8,10,2,312
351290 COSMORAMA,-,1,1,-,3,3,11,7,-,4,3,1,34
351300 COTIA,-,-,3,4,11,6,46,33,4,5,2,1,115
351310 CRAVINHOS,-,4,19,28,27,20,108,118,22,19,15,3,383
351320 CRISTAIS PAULISTA,-,-,-,2,2,3,6,7,-,1,-,-,21
351330 CRUZALIA,-,-,3,10,14,7,40,60,12,16,13,5,180
351340 CRUZEIRO,-,1,2,-,2,1,17,12,4,-,1,-,40
351350 CUBATAO,-,2,3,-,3,4,26,20,2,-,-,1,61
351360 CUNHA,-,-,1,-,7,1,27,21,5,1,2,-,65
351370 DESCALVADO,-,-,2,3,-,5,9,18,4,3,3,-,47
351380 DIADEMA,-,3,8,14,16,24,124,55,6,5,8,-,263
351385 DIRCE REIS,-,-,-,3,-,6,12,10,5,2,-,-,38
351390 DIVINOLANDIA,-,-,-,-,-,-,2,1,1,-,-,-,4
351400 DOBRADA,-,4,4,11,32,26,105,98,21,12,15,3,331
351410 DOIS CORREGOS,-,2,5,12,18,12,75,103,23,15,19,4,288
351420 DOLCINOPOLIS,-,-,-,-,6,7,15,13,1,4,5,3,54
351430 DOURADO,-,4,12,25,27,42,177,128,21,21,23,8,488
351440 DRACENA,1,13,45,149,183,152,689,1032,254,223,291,110,3142
351450 DUARTINA,-,-,-,-,1,1,4,3,-,1,2,-,12
351460 DUMONT,-,-,8,16,15,16,89,46,5,3,7,2,207
351470 ECHAPORA,-,9,10,34,42,46,150,181,29,29,50,18,598
351480 ELDORADO,-,-,-,-,-,-,1,2,-,-,-,-,3
351490 ELIAS FAUSTO,-,-,-,-,-,1,4,1,-,-,-,-,6
351492 ELISIARIO,-,-,-,2,1,2,6,3,-,-,-,-,14
351495 EMBAUBA,-,-,2,7,10,4,11,23,5,1,8,1,72
351500 EMBU DAS ARTES,-,1,11,13,11,13,75,42,6,2,4,1,179
351510 EMBU-GUACU,-,1,1,-,1,4,13,7,-,1,1,-,29
351512 EMILIANOPOLIS,-,3,4,12,19,33,97,134,38,28,49,19,436
351515 ENGENHEIRO COELHO,-,-,1,1,3,1,16,9,-,-,-,-,31
351518 ESPIRITO SANTO DO PINHAL,-,-,1,3,4,4,17,17,5,1,-,-,52
351519 ESPIRITO SANTO DO TURVO,-,-,1,-,-,-,10,1,-,-,-,-,12
351520 ESTRELA D'OESTE,-,-,-,2,4,1,21,11,2,1,1,-,43
351530 ESTRELA DO NORTE,-,2,12,30,42,35,152,196,37,22,29,14,571
351535 EUCLIDES DA CUNHA PAULISTA,-,-,6,27,25,29,112,103,21,11,17,8,359
351540 FARTURA,-,1,1,2,5,3,21,12,5,3,5,1,59
351550 FERNANDOPOLIS,-,2,4,10,10,12,56,64,12,9,11,3,193
351560 FERNANDO PRESTES,-,3,1,11,20,22,137,174,38,20,53,24,503
351565 FERNAO,-,-,-,-,-,1,1,2,-,-,1,-,5
351570 FERRAZ DE VASCONCELOS,-,2,8,8,7,12,72,33,4,2,1,3,152
351580 FLORA RICA,-,3,3,11,10,17,43,82,19,12,34,13,247
351590 FLOREAL,-,-,-,1,-,1,5,6,1,-,2,-,16
351600 FLORIDA PAULISTA,-,-,15,29,35,32,141,195,54,32,47,19,599
351610 FLORINIA,-,2,1,1,2,8,10,8,1,3,1,-,37
351620 FRANCA,-,19,39,77,131,159,764,410,57,40,35,24,1755
351630 FRANCISCO MORATO,-,5,9,26,28,22,130,100,10,3,4,-,337
351640 FRANCO DA ROCHA,-,4,8,34,66,60,280,240,36,22,18,1,769
351650 GABRIEL MONTEIRO,-,-,-,1,3,-,10,8,-,-,2,-,24
351660 GALIA,-,-,-,3,4,5,26,20,8,4,3,3,76
351670 GARCA,-,-,4,10,19,18,118,75,15,13,7,1,280
351680 GASTAO VIDIGAL,-,-,-,-,3,1,3,1,-,1,-,-,9
351685 GAVIAO PEIXOTO,-,1,2,6,16,9,58,39,5,3,5,-,144
351690 GENERAL SALGADO,-,-,1,2,2,2,7,8,-,1,1,1,25
351700 GETULINA,-,1,1,4,14,8,39,54,9,10,6,2,148
351710 GLICERIO,-,-,-,1,-,-,1,1,-,1,-,1,5
351720 GUAICARA,-,2,4,13,36,33,125,93,11,6,7,1,331
351730 GUAIMBE,-,-,-,8,6,8,28,33,8,5,8,5,109
351740 GUAIRA,-,6,17,72,80,92,346,274,39,32,52,7,1017
351750 GUAPIACU,-,2,6,13,13,25,86,57,15,12,8,4,241
351760 GUAPIARA,-,-,2,3,2,10,17,13,3,-,1,-,51
351770 GUARA,-,-,1,-,3,1,7,9,2,-,-,-,23
351780 GUARACAI,-,-,2,3,6,6,22,37,2,1,7,2,88
351790 GUARACI,-,-,-,1,3,6,5,9,2,1,-,2,29
351800 GUARANI D'OESTE,-,-,2,2,1,1,7,8,3,2,1,-,27
351810 GUARANTA,-,-,2,5,4,10,12,14,-,-,-,-,47
351820 GUARARAPES,-,5,9,54,101,72,290,280,48,39,44,17,959
351830 GUARAREMA,-,2,17,28,9,6,37,22,3,1,5,1,131
351840 GUARATINGUETA,-,3,6,19,25,31,194,169,18,10,17,3,495
351850 GUAREI,-,1,-,1,-,2,10,8,-,2,-,-,24
351860 GUARIBA,-,2,4,9,19,10,79,54,13,10,7,3,210
351870 GUARUJA,-,12,72,77,124,160,602,353,42,24,24,5,1495
351880 GUARULHOS,-,16,38,74,100,143,722,581,79,38,54,15,1860
351885 GUATAPARA,-,2,13,16,19,18,111,104,17,11,16,5,332
351890 GUZOLANDIA,-,2,-,3,5,3,18,15,4,1,1,1,53
351900 HERCULANDIA,-,-,17,32,39,38,140,161,41,30,36,15,549
351905 HOLAMBRA,-,2,2,1,3,2,14,8,3,3,1,-,39
351907 HORTOLANDIA,-,10,20,53,91,84,460,335,32,25,16,5,1131
351910 IACANGA,1,1,3,15,20,21,86,116,21,19,13,3,319
351920 IACRI,-,-,11,30,31,25,126,113,25,16,28,11,416
351925 IARAS,-,-,-,-,-,1,2,-,-,-,-,-,3
351930 IBATE,-,1,5,6,19,7,50,52,16,13,6,4,179
351940 IBIRA,-,-,2,4,3,2,26,24,6,4,3,4,78
351950 IBIRAREMA,-,-,8,15,17,33,87,102,17,11,16,11,317
351960 IBITINGA,-,10,15,71,92,96,443,402,72,47,46,23,1317
351970 IBIUNA,-,-,1,-,2,1,6,5,1,1,2,-,19
351980 ICEM,-,1,3,5,3,6,17,19,2,3,3,4,66
351990 IEPE,-,11,38,87,111,153,549,545,110,94,86,44,1828
352000 IGARACU DO TIETE,-,-,2,11,14,17,46,58,4,2,4,2,160
352010 IGARAPAVA,1,10,40,57,49,13,78,91,14,10,10,4,377
352020 IGARATA,-,-,1,1,-,-,1,-,-,-,-,-,3
352030 IGUAPE,-,1,-,1,4,3,6,14,4,-,2,-,35
352040 ILHABELA,-,4,12,7,21,19,159,76,11,9,11,4,333
352042 ILHA COMPRIDA,-,3,2,2,7,6,32,40,14,11,7,2,126
352044 ILHA SOLTEIRA,-,3,6,17,23,17,64,93,16,15,11,1,266
352050 INDAIATUBA,-,7,8,32,28,67,278,255,52,39,27,7,800
352060 INDIANA,-,3,10,31,54,31,171,183,26,29,44,12,594
352070 INDIAPORA,-,-,-,-,1,2,6,6,-,1,1,1,18
352080 INUBIA PAULISTA,-,2,10,12,16,12,67,102,30,13,21,13,298
352090 IPAUSSU,-,1,-,11,7,17,76,60,7,8,9,2,198
352100 IPERO,-,-,-,1,6,1,12,7,2,-,2,-,31
352110 IPEUNA,-,-,-,4,2,1,12,11,1,1,-,2,34
352115 IPIGUA,-,-,1,2,1,2,13,4,-,1,1,1,26
352120 IPORANGA,-,-,1,-,-,-,-,-,-,-,-,-,1
352130 IPUA,1,2,-,2,3,5,20,21,5,1,3,-,63
352140 IRACEMAPOLIS,-,-,1,-,-,1,7,7,1,1,1,1,20
352150 IRAPUA,-,1,7,8,12,13,51,57,8,17,18,2,194
352160 IRAPURU,2,5,9,27,27,32,134,160,43,23,42,18,522
352170 ITABERA,-,-,-,-,-,1,5,2,1,-,-,-,9
352180 ITAI,-,-,-,1,-,2,17,14,3,1,-,-,38
352190 ITAJOBI,-,-,1,1,8,3,24,20,3,2,4,2,68
352200 ITAJU,-,-,3,4,6,11,30,19,7,8,3,3,94
352210 ITANHAEM,-,1,7,14,9,15,63,40,6,6,8,3,172
352215 ITAOCA,-,-,-,-,-,-,1,-,-,-,-,-,1
352220 ITAPECERICA DA SERRA,-,1,1,3,6,5,19,14,1,1,-,-,51
352230 ITAPETININGA,-,5,7,34,49,45,216,145,21,24,21,3,570
352240 ITAPEVA,-,-,-,2,1,-,5,7,1,-,-,-,16
352250 ITAPEVI,-,1,-,4,2,2,12,13,2,-,2,-,38
352260 ITAPIRA,-,-,1,3,6,16,45,59,9,8,6,-,153
352270 ITAPOLIS,1,18,70,198,291,283,1309,1388,278,238,278,120,4472
352280 ITAPORANGA,-,-,-,-,2,-,8,1,1,-,-,-,12
352290 ITAPUI,-,-,-,-,2,-,9,4,-,1,-,-,16
352300 ITAPURA,-,-,1,-,3,4,8,6,1,3,-,1,27
352310 ITAQUAQUECETUBA,-,-,4,3,8,5,86,69,10,6,5,-,196
352320 ITARARE,-,5,5,32,48,38,172,112,20,9,14,3,458
352330 ITARIRI,-,-,1,-,1,1,2,4,-,-,2,-,11
352340 ITATIBA,-,1,1,2,1,7,39,26,5,2,5,-,89
352350 ITATINGA,-,1,2,2,-,2,11,4,-,1,1,-,24
352360 ITIRAPINA,-,-,-,-,1,-,4,-,-,-,-,-,5
352370 ITIRAPUA,-,-,-,-,1,2,8,4,1,1,1,-,18
352380 ITOBI,-,-,-,1,-,1,-,2,-,1,-,-,5
352390 ITU,-,11,30,60,81,80,381,395,70,70,70,25,1273
352400 ITUPEVA,-,2,4,17,13,6,34,34,2,2,3,1,118
352410 ITUVERAVA,-,15,34,81,83,102,352,255,50,43,25,12,1052
352420 JABORANDI,-,4,1,19,16,21,64,57,13,8,9,11,223
352430 JABOTICABAL,6,21,39,133,183,158,938,791,134,106,142,61,2712
352440 JACAREI,-,11,28,72,91,132,526,420,60,50,45,12,1447
352450 JACI,-,-,1,7,10,10,48,48,3,3,4,2,136
352460 JACUPIRANGA,-,-,-,1,-,-,8,2,-,3,1,-,15
352470 JAGUARIUNA,-,-,5,7,9,16,70,55,9,3,1,2,177
352480 JALES,-,1,-,7,11,12,48,36,4,8,5,2,134
352490 JAMBEIRO,-,-,-,-,1,-,2,1,-,-,1,1,6
352500 JANDIRA,-,1,1,6,6,9,27,30,2,2,2,-,86
352510 JARDINOPOLIS,-,6,23,45,41,34,121,92,18,9,4,5,398
352520 JARINU,-,-,9,7,6,8,58,38,-,-,2,-,128
352530 JAU,-,1,18,47,73,60,353,291,48,35,29,8,963
352540 JERIQUARA,-,-,-,6,7,5,25,19,3,2,3,2,72
352550 JOANOPOLIS,-,-,-,2,1,1,6,2,-,-,1,-,13
352560 JOAO RAMALHO,-,1,5,12,23,19,81,80,8,13,11,7,260
352570 JOSE BONIFACIO,-,-,2,1,2,5,21,19,1,1,1,-,53
352580 JULIO MESQUITA,-,2,10,29,32,20,131,154,34,24,35,16,487
352585 JUMIRIM,-,-,-,-,-,2,5,7,-,4,4,1,23
352590 JUNDIAI,-,9,31,66,64,68,417,322,58,45,45,15,1140
352600 JUNQUEIROPOLIS,-,3,12,45,65,64,252,323,78,59,58,25,984
352610 JUQUIA,-,-,1,1,1,-,1,-,1,1,-,-,6
352620 JUQUITIBA,-,-,-,1,1,-,2,5,1,-,-,-,10
352630 LAGOINHA,-,-,-,1,-,1,2,3,1,-,1,-,9
352640 LARANJAL PAULISTA,3,17,56,146,176,190,873,762,145,133,164,48,2713
352650 LAVINIA,-,1,-,4,13,14,64,66,13,15,9,6,205
352660 LAVRINHAS,-,-,-,-,-,-,4,6,-,1,-,-,11
352670 LEME,-,-,1,4,11,4,19,25,2,1,4,1,72
352680 LENCOIS PAULISTA,-,-,8,25,65,60,282,272,43,34,52,10,851
352690 LIMEIRA,-,2,17,36,50,31,178,165,32,20,21,10,562
352700 LINDOIA,-,-,1,1,-,-,3,2,-,-,-,-,7
352710 LINS,-,14,86,238,325,294,1379,1170,218,139,164,69,4096
352720 LORENA,-,2,4,6,9,9,42,28,3,2,3,1,109
352725 LOURDES,-,-,-,1,-,-,4,4,-,-,2,-,11
352730 LOUVEIRA,-,1,5,11,5,6,95,57,12,9,7,-,208
352740 LUCELIA,-,-,7,53,65,52,246,324,70,65,76,29,987
352750 LUCIANOPOLIS,-,-,-,-,-,-,-,1,-,-,-,-,1
352760 LUIS ANTONIO,-,-,5,7,11,15,63,30,5,5,2,3,146
352770 LUIZIANIA,-,3,-,2,1,3,10,5,3,-,1,-,28
352780 LUPERCIO,-,-,1,5,10,5,28,36,5,4,15,3,112
352790 LUTECIA,-,-,-,1,4,4,17,28,11,4,6,-,75
352800 MACATUBA,-,-,-,3,5,4,28,31,5,2,5,1,84
352810 MACAUBAL,-,-,-,-,1,-,-,1,1,-,2,-,5
352820 MACEDONIA,-,-,-,3,7,4,30,51,8,7,5,7,122
352830 MAGDA,-,-,-,-,1,-,1,2,-,1,-,-,5
352840 MAIRINQUE,-,-,-,1,3,3,7,13,-,2,1,-,30
352850 MAIRIPORA,-,-,-,3,3,1,9,13,2,-,1,-,32
352860 MANDURI,-,-,1,-,-,2,1,5,-,1,3,1,14
352870 MARABA PAULISTA,-,1,1,4,4,3,22,16,4,3,3,-,61
352880 MARACAI,-,-,4,19,32,15,65,74,12,9,11,5,246
352885 MARAPOAMA,-,2,1,12,17,10,93,89,21,17,27,14,303
352890 MARIAPOLIS,-,-,12,20,36,59,167,161,36,30,27,16,564
352900 MARILIA,-,17,56,171,227,230,892,1125,215,135,168,37,3273
352910 MARINOPOLIS,-,-,-,2,1,4,24,13,3,1,4,1,53
352920 MARTINOPOLIS,-,6,5,19,23,17,108,142,33,32,28,17,430
352930 MATAO,-,4,15,52,79,70,331,369,69,62,52,8,1111
352940 MAUA,-,1,3,2,2,5,26,33,5,3,6,-,86
352950 MENDONCA,-,-,-,2,-,1,6,10,1,1,1,-,22
352960 MERIDIANO,-,-,1,1,3,1,18,16,-,-,4,-,44
352965 MESOPOLIS,-,-,-,-,-,-,-,-,-,-,1,-,1
352970 MIGUELOPOLIS,-,6,7,14,17,7,26,17,2,-,3,-,99
352980 MINEIROS DO TIETE,-,-,2,1,3,5,36,32,5,5,7,2,98
352990 MIRACATU,-,1,-,1,1,1,5,3,-,1,-,-,13
353000 MIRA ESTRELA,-,-,2,3,6,1,7,11,2,4,9,2,47
353010 MIRANDOPOLIS,-,6,30,104,258,246,895,901,170,147,187,70,3014
353020 MIRANTE DO PARANAPANEMA,-,4,18,51,96,87,316,347,61,65,77,31,1153
353030 MIRASSOL,-,1,6,11,14,10,60,45,6,3,3,4,163
353040 MIRASSOLANDIA,-,-,6,-,1,2,4,7,1,-,-,2,23
353050 MOCOCA,-,1,2,6,14,10,60,55,14,13,5,-,180
353060 MOGI DAS CRUZES,-,-,3,1,5,5,23,17,3,3,4,1,65
353070 MOGI GUACU,-,5,13,41,63,47,296,193,35,16,16,4,729
353080 MOGI MIRIM,-,3,5,7,10,10,49,33,4,7,4,3,135
353090 MOMBUCA,-,3,-,7,5,5,44,19,6,4,1,1,95
353100 MONCOES,-,-,1,-,-,-,1,-,-,-,1,1,4
353110 MONGAGUA,-,1,2,5,3,3,11,11,-,-,3,-,39
353120 MONTE ALEGRE DO SUL,-,1,3,1,2,7,9,3,1,-,-,-,27
353130 MONTE ALTO,-,9,6,28,37,39,181,230,43,28,38,9,648
353140 MONTE APRAZIVEL,-,-,1,2,5,2,12,9,1,3,5,2,42
353150 MONTE AZUL PAULISTA,-,2,11,25,29,28,131,175,28,30,35,15,509
353160 MONTE CASTELO,-,-,1,15,11,12,55,69,18,19,22,3,225
353170 MONTEIRO LOBATO,-,-,1,2,-,-,3,2,-,-,-,-,8
353180 MONTE MOR,1,-,6,7,14,17,97,63,8,7,2,3,225
353190 MORRO AGUDO,-,4,15,38,43,57,247,136,20,10,10,4,584
353200 MORUNGABA,-,-,-,1,5,4,25,20,5,-,-,-,60
353205 MOTUCA,-,-,-,-,-,-,3,-,1,-,1,-,5
353210 MURUTINGA DO SUL,-,-,3,4,6,5,28,34,2,6,2,2,92
353215 NANTES,-,1,4,5,23,9,82,65,7,8,11,3,218
353220 NARANDIBA,-,9,15,69,86,77,340,320,51,41,40,25,1073
353230 NATIVIDADE DA SERRA,-,1,2,4,-,2,7,3,-,-,-,1,20
353240 NAZARE PAULISTA,-,1,7,3,1,1,6,3,-,2,-,-,24
353250 NEVES PAULISTA,-,-,1,-,1,4,6,6,-,-,1,-,19
353260 NHANDEARA,-,2,-,11,11,14,38,42,16,6,10,2,152
353270 NIPOA,1,-,2,4,2,3,12,7,1,2,1,-,35
353280 NOVA ALIANCA,-,-,-,4,1,-,7,5,-,-,1,-,18
353284 NOVA CANAA PAULISTA,-,1,3,3,-,3,5,6,1,-,3,3,28
353286 NOVA CASTILHO,-,-,-,1,1,2,4,2,-,-,-,-,10
353290 NOVA EUROPA,-,3,5,33,39,33,171,191,32,21,36,5,569
353300 NOVA GRANADA,-,1,-,3,2,2,10,1,1,-,4,1,25
353310 NOVA GUATAPORANGA,-,1,5,5,6,1,20,28,7,7,10,5,95
353320 NOVA INDEPENDENCIA,-,1,2,10,20,11,64,39,7,2,7,1,164
353325 NOVAIS,-,1,1,1,1,2,9,5,-,2,2,1,25
353330 NOVA LUZITANIA,-,-,-,-,-,1,2,-,-,1,-,-,4
353340 NOVA ODESSA,-,2,11,38,37,35,140,139,16,19,14,5,456
353350 NOVO HORIZONTE,-,1,2,7,11,7,43,38,8,12,6,6,141
353360 NUPORANGA,-,3,16,53,63,42,224,213,33,49,53,16,765
353370 OCAUCU,-,8,15,42,61,57,224,172,38,47,39,20,723
353380 OLEO,-,-,-,-,1,-,1,6,2,1,2,-,13
353390 OLIMPIA,-,2,7,25,27,35,96,123,29,15,18,11,388
353400 ONDA VERDE,-,2,4,10,12,7,49,19,2,-,3,1,109
353410 ORIENTE,-,-,2,2,-,2,14,7,1,1,5,-,34
353420 ORINDIUVA,-,-,1,-,1,1,8,2,1,-,1,1,16
353430 ORLANDIA,1,11,33,90,120,111,542,568,129,113,110,32,1860
353440 OSASCO,-,7,13,36,80,85,517,320,45,35,38,8,1184
353450 OSCAR BRESSANE,-,-,6,9,10,14,51,58,13,11,22,5,199
353460 OSVALDO CRUZ,-,4,84,261,312,282,1155,1199,255,176,214,94,4036
353470 OURINHOS,-,13,35,113,135,116,578,561,115,69,86,36,1857
353475 OUROESTE,-,-,7,6,11,8,39,59,11,9,12,4,166
353480 OURO VERDE,-,4,20,59,88,87,390,405,75,63,55,26,1272
353490 PACAEMBU,-,1,20,50,49,44,233,317,86,60,85,41,986
353500 PALESTINA,-,2,1,3,-,2,12,6,2,1,3,1,33
353510 PALMARES PAULISTA,-,1,7,24,28,42,172,198,42,25,27,10,576
353520 PALMEIRA D'OESTE,-,-,2,3,9,6,21,20,1,2,12,2,78
353530 PALMITAL,1,7,17,54,63,55,249,278,68,60,66,20,938
353540 PANORAMA,1,4,42,132,169,116,533,651,123,119,143,54,2087
353550 PARAGUACU PAULISTA,-,4,9,15,29,32,92,96,19,8,9,4,317
353560 PARAIBUNA,-,3,7,3,2,1,9,3,1,-,-,-,29
353570 PARAISO,-,2,1,12,19,14,84,103,20,19,35,18,327
353580 PARANAPANEMA,-,-,-,-,1,-,2,2,-,-,-,-,5
353590 PARANAPUA,-,1,-,1,3,1,11,4,1,1,1,-,24
353600 PARAPUA,-,9,24,63,70,46,226,233,45,40,48,27,831
353610 PARDINHO,-,-,-,1,-,-,1,1,-,-,-,-,3
353620 PARIQUERA-ACU,-,-,-,1,-,-,5,-,2,-,-,-,8
353625 PARISI,-,-,-,-,-,-,1,-,-,-,-,-,1
353630 PATROCINIO PAULISTA,-,3,4,6,19,21,70,46,3,6,2,1,181
353640 PAULICEIA,-,-,26,79,117,110,408,401,77,43,65,19,1345
353650 PAULINIA,-,4,22,34,37,56,245,268,41,32,28,13,780
353657 PAULISTANIA,-,-,1,1,-,-,-,5,-,-,-,-,7
353660 PAULO DE FARIA,-,-,7,8,16,8,74,53,11,7,8,5,197
353670 PEDERNEIRAS,-,2,14,32,59,43,206,255,43,34,40,15,743
353680 PEDRA BELA,-,-,-,1,1,-,2,5,1,-,-,-,10
353690 PEDRANOPOLIS,-,-,-,-,-,1,4,7,-,1,3,-,16
353700 PEDREGULHO,-,3,2,15,24,17,94,66,7,7,12,3,250
353710 PEDREIRA,-,2,3,4,3,7,22,16,3,2,1,-,63
353715 PEDRINHAS PAULISTA,-,-,4,10,6,6,29,44,6,5,6,8,124
353720 PEDRO DE TOLEDO,-,-,-,-,-,-,-,3,-,-,-,-,3
353730 PENAPOLIS,-,-,2,4,2,2,14,10,4,-,3,-,41
353740 PEREIRA BARRETO,-,-,1,8,1,6,2,9,2,1,1,-,31
353750 PEREIRAS,-,-,-,-,3,-,13,2,1,2,1,-,22
353760 PERUIBE,-,3,5,4,13,12,35,60,8,3,8,1,152
353770 PIACATU,-,2,5,3,10,11,54,56,9,5,9,8,172
353780 PIEDADE,-,-,1,1,1,1,3,1,1,-,-,-,9
